DATE_TIME,current_contract,next_contract,carry_contract
2023-09-28 23:00:00,20231000,20231200,20231200
2023-11-28 23:00:00,20231200,20240300,20240100
2024-02-27 23:00:00,20240300,20240700,20240400
2024-06-28 23:00:00,20240700,20240900,20240900
2024-08-29 06:30:00,20240900,20241200,20241000
2024-09-23 06:30:00,20241200,20250300,20250100
