DATE_TIME,current_contract,next_contract,carry_contract
2023-12-19 23:00:00,20240300,20240500,20231200
2024-03-19 23:00:00,20240500,20240700,20240300
2024-05-21 23:00:00,20240700,20240900,20240500
2024-07-22 23:00:00,20240900,20241200,20240700
2024-09-19 23:00:00,20241200,20250300,20240900
